dataset,fold,train_size,model,auroc,auprc,brier,train_time,inf_time
MI,30,50,TabICL,0.933812615955473,0.8355230872207556,0.08135592267387547,0.1567300450988114,0.00011561789171421432
MI,30,100,XGBoost,0.9466141001855286,0.8307176679528474,0.08606752538987857,0.13092152494937181,4.908287029461082e-06
MI,30,100,LightGBM,0.7781539888682745,0.4251410697344652,0.1441540376579985,0.04544298490509391,2.6780755752586274e-06
MI,30,100,CatBoost,0.9326066790352505,0.7165246338368767,0.10801179217752423,0.31774583319202065,2.4335978337493077e-06
MI,30,100,RandomForest,0.9532003710575138,0.8397513665924289,0.08496914588141763,0.2063761178869754,0.00012719461720332918
MI,30,100,TabPFN,,,,,
MI,30,100,TabICL,0.9568181818181818,0.8651871646794642,0.06960476564748264,0.15700371307320893,0.00011628626315182899
MI,30,200,XGBoost,0.9528293135435992,0.8461947724535122,0.08198157232366086,0.1654532679822296,5.667457780040118e-06
MI,30,200,LightGBM,0.9524582560296846,0.8539019051132587,0.08440751013003463,0.08541942900046706,3.130533231563302e-06
MI,30,200,CatBoost,0.9438311688311688,0.8161050049505129,0.08882236981511488,0.30971528496593237,1.9181042954147576e-06
MI,30,200,RandomForest,0.9517161410018553,0.8480472278011069,0.08667737336562832,0.20297563704662025,0.00012707943838846636
MI,30,200,TabPFN,,,,,
MI,30,200,TabICL,0.9722170686456401,0.9121789594247645,0.060401145959199536,0.15926204808056355,0.00013397807956662075
MI,30,500,XGBoost,0.9728664192949907,0.9114116356322619,0.06240230672628307,0.2099584499374032,7.397458105685701e-06
MI,30,500,LightGBM,0.9734693877551021,0.9129844182847763,0.05976462821124297,0.13755570608191192,3.818578394760649e-06
MI,30,500,CatBoost,0.9671150278293136,0.9010931177733377,0.06689106244121905,0.33983930898830295,7.393385888452074e-06
MI,30,500,RandomForest,0.9664656771799629,0.8742906533170719,0.06509018358316208,0.286332560935989,0.0001415252626179699
MI,30,500,TabPFN,,,,,
MI,30,500,TabICL,0.9748144712430427,0.9198816508565831,0.05437842785916707,0.18388934899121523,0.0001733913670750372
MI,30,1002,XGBoost,0.9607142857142857,0.883335756714666,0.06566726109365287,0.20841187611222267,7.38875710394278e-06
MI,30,1002,LightGBM,0.9603432282003711,0.880393427321525,0.0653088939800825,0.1471004921477288,3.901916923394716e-06
MI,30,1002,CatBoost,0.9577458256029685,0.87908264561722,0.06921001718772576,0.9145510050002486,8.18331903996933e-06
MI,30,1002,RandomForest,0.9631261595547309,0.8833917302150216,0.06859323737385514,0.3991680881008506,0.00014156890862372767
MI,30,1002,TabPFN,,,,,
MI,30,1002,TabICL,0.9742578849721707,0.9182084980029173,0.055612738985317725,0.535010069841519,0.0002848931033520466
MI,31,50,XGBoost,0.9070964749536178,0.7979087715690926,0.08606769978098455,0.1265525189228356,1.0868777480139675e-05
MI,31,50,LightGBM,0.563543599257885,0.2457054897293941,0.17048493778353843,0.012329007033258677,3.0843706141073864e-06
MI,31,50,CatBoost,0.9077458256029685,0.6522466986901759,0.12194565714588257,1.8109738328494132,3.954617351115463e-06
MI,31,50,RandomForest,0.9195269016697589,0.7564954390434095,0.09759569721115538,0.19640992092899978,0.00012732575280198537
MI,31,50,TabPFN,,,,,
MI,31,50,TabICL,0.9434601113172543,0.8498454390363486,0.08365119249420874,0.47816869313828647,0.00011750906371915958
MI,31,100,XGBoost,0.9070500927643783,0.8015568305836119,0.08689719180122428,0.20884301094338298,1.2248011484029758e-05
MI,31,100,LightGBM,0.7800556586270873,0.5080518974887154,0.13720371523784003,0.08832797012291849,4.75037497917257e-06
MI,31,100,CatBoost,0.9308441558441558,0.7693422325612772,0.10880887439883187,0.7879282801877707,8.227526251063405e-06
MI,31,100,RandomForest,0.9263450834879405,0.8051346100691595,0.08263359196258052,0.34866198897361755,0.0002231751791242347
MI,31,100,TabPFN,,,,,
MI,31,100,TabICL,0.9517161410018553,0.8856454080156627,0.06419560468287779,0.20606316602788866,0.00015977134675796762
MI,31,200,XGBoost,0.9364100185528758,0.8332511149108842,0.08127685647484084,0.15344273089431226,1.1370426407492018e-05
MI,31,200,LightGBM,0.9142857142857144,0.8170777977487829,0.08319482573947073,0.07770818215794861,6.5087806433439255e-06
MI,31,200,CatBoost,0.9174860853432282,0.8188803885160443,0.0868124732999985,0.6429798051249236,5.050872144589861e-06
MI,31,200,RandomForest,0.9316790352504638,0.8345495254415142,0.07612321764659007,0.35263490001671016,0.0001433967692458416
MI,31,200,TabPFN,,,,,
MI,31,200,TabICL,0.9556122448979592,0.8810972570075087,0.06318610613917132,0.19992128410376608,0.00014131453418844486
MI,31,500,XGBoost,0.9320500927643784,0.8729672270615175,0.06377639521690588,0.19237338309176266,1.0903449766189453e-05
MI,31,500,LightGBM,0.9284786641929499,0.8548170871527925,0.0696141324365125,0.12237484497018158,6.986768968195554e-06
MI,31,500,CatBoost,0.923886827458256,0.8637573382036546,0.06541446962787267,0.5086284901481122,3.390733070998078e-06
MI,31,500,RandomForest,0.9245361781076067,0.8599830651889699,0.06371940816347216,0.21110568195581436,0.0001272816698909162
MI,31,500,TabPFN,,,,,
MI,31,500,TabICL,0.9563543599257884,0.8905871838567474,0.060799309497558594,0.5757126570679247,0.00017284691719657397
MI,31,1002,XGBoost,0.9519944341372913,0.8947234823279533,0.05820194588823018,0.23487014300189912,7.267354011713746e-06
MI,31,1002,LightGBM,0.9361317254174395,0.8890239863234893,0.058571392851416916,0.17339733708649874,3.964434270246096e-06
MI,31,1002,CatBoost,0.9320500927643784,0.8862771934797424,0.056381405780177446,0.6724167710635811,4.677131653306969e-06
MI,31,1002,RandomForest,0.9302875695732838,0.8888962865740148,0.05745810414543546,0.41506616910919547,0.00014260775350271706
MI,31,1002,TabPFN,,,,,
MI,31,1002,TabICL,0.9570037105751391,0.8964022565136566,0.059788247643744415,0.24734357884153724,0.0002783145096924794
MI,32,50,XGBoost,0.9051948051948052,0.7936670904935857,0.07316952450765961,0.2108816229738295,1.1149366234106372e-05
MI,32,50,LightGBM,0.6515769944341373,0.29803211396836893,0.16095192510574535,0.02258219989016652,7.221274879349181e-06
MI,32,50,CatBoost,0.9053339517625232,0.7120170554704225,0.11006589489931069,0.4194010079372674,5.943414966661141e-06
MI,32,50,RandomForest,0.9379870129870128,0.8441150320745444,0.07993518456712831,0.31083181500434875,0.00014366790006657045
MI,32,50,TabPFN,,,,,
MI,32,50,TabICL,0.94512987012987,0.8708218760283758,0.06514809107854738,0.19870075094513595,0.0001450099127062882
MI,32,100,XGBoost,0.9253710575139147,0.8259205483050553,0.08833513609962905,0.11586723802611232,1.0770035952151534e-05
MI,32,100,LightGBM,0.6583951762523191,0.342652347192602,0.1624453362271989,0.035766066052019596,6.995785358061354e-06
MI,32,100,CatBoost,0.931864564007421,0.8280578393664674,0.09665387219531188,0.4684699440840632,5.563131099440662e-06
MI,32,100,RandomForest,0.9355751391465675,0.8561327946517691,0.07985229607782024,0.2082952451892197,0.00012760111167878506
MI,32,100,TabPFN,,,,,
MI,32,100,TabICL,0.9451298701298703,0.8773749622030197,0.06737177152241594,0.7938387119211257,0.00011658029486072728
MI,32,200,XGBoost,0.9268089053803338,0.8401693297006427,0.07992837874761502,0.7746707021724433,1.26330437977238e-05
MI,32,200,LightGBM,0.9158627087198515,0.8095917951921293,0.08617967095900719,0.08582044206559658,7.716462060631034e-06
MI,32,200,CatBoost,0.9095083487940632,0.7762271298278883,0.10306281103468498,0.6033118669874966,3.3616496480081186e-06
MI,32,200,RandomForest,0.92778293135436,0.8338276233766798,0.07868191047545926,0.2120805769227445,0.00012727249395176471
MI,32,200,TabPFN,,,,,
MI,32,200,TabICL,0.9445732838589982,0.8845481807288893,0.06100193260821677,0.33421363891102374,0.00013340162521458242
MI,32,500,XGBoost,0.944294990723562,0.8833179005663873,0.06467409674428076,0.3154204459860921,7.22985714673996e-06
MI,32,500,LightGBM,0.9402597402597401,0.8871746378532663,0.06266499139591877,0.13323680916801095,3.85049010712312e-06
MI,32,500,CatBoost,0.9398423005565864,0.8804244876539108,0.0682284919847716,0.7975985677912831,1.9372548477583197e-06
MI,32,500,RandomForest,0.9278293135435991,0.8658592793143367,0.06831238282434834,0.21533088106662035,0.00012731255009859445
MI,32,500,TabPFN,,,,,
MI,32,500,TabICL,0.946799628942486,0.8913096506704927,0.06330908530243638,0.15567237697541714,0.00017442127904925215
MI,32,1002,XGBoost,0.9456864564007421,0.8941279892523663,0.05940740639478103,0.2271621508989483,7.939756851628482e-06
MI,32,1002,LightGBM,0.9480983302411874,0.8917027030584918,0.06020885747434118,0.1746357751544565,4.2745025375806e-06
MI,32,1002,CatBoost,0.9482838589981446,0.9021943675228884,0.05676453790977766,0.8975284630432725,4.876648962675812e-06
MI,32,1002,RandomForest,0.9452690166975882,0.8862167801132499,0.06254266779482964,0.4203444989398122,0.00014273912749768967
MI,32,1002,TabPFN,,,,,
MI,32,1002,TabICL,0.9478200371057515,0.8953425772998737,0.056276310850906335,0.3378086881712079,0.0002891346533964592
MI,33,50,XGBoost,0.9534674981103554,0.8483270276601099,0.07757097420975682,0.13015555799938738,9.86701250076294e-06
MI,33,50,LightGBM,0.7360166288737717,0.3541504481168535,0.1533781468196958,0.02189670503139496,5.968431942164898e-06
MI,33,50,CatBoost,0.8971560846560848,0.7091519507153893,0.11087327784678734,0.8032367760315537,3.3739320933818817e-06
MI,33,50,RandomForest,0.9338151927437642,0.810946830198464,0.08532933783398841,0.1961974271107465,0.00012910869531333445
MI,33,50,TabPFN,,,,,
MI,33,50,TabICL,0.9483654572940287,0.8579113661836024,0.07202818215489463,0.36806940007954836,0.00014232652354985475
MI,33,100,XGBoost,0.9589947089947091,0.846613350553387,0.07305886179336854,0.14854914089664817,1.1541279964148998e-05
MI,33,100,LightGBM,0.8111772486772487,0.48812148647233844,0.13268263824652177,0.04557326505891979,4.178443923592567e-06
MI,33,100,CatBoost,0.9128401360544217,0.665292846454824,0.11652577001288858,0.4989398051984608,3.8098162040114403e-06
MI,33,100,RandomForest,0.930791761148904,0.7564246648774757,0.08535971733533469,0.19839356699958444,0.00012953015603125095
MI,33,100,TabPFN,,,,,
MI,33,100,TabICL,0.969057067271353,0.8851922372279172,0.058376647529453735,0.20271893311291933,0.00011781956441700458
MI,33,200,XGBoost,0.9516250944822373,0.8511737428750327,0.0702422083603577,0.2950021799188107,5.878187716007233e-06
MI,33,200,LightGBM,0.9311224489795918,0.796116476828756,0.08870893936230723,0.08073653909377754,3.298068419098854e-06
MI,33,200,CatBoost,0.9330593348450491,0.8034112300886185,0.08957529447995619,0.3006635189522058,2.516067586839199e-06
MI,33,200,RandomForest,0.9370275888133031,0.7812852992617901,0.07901951759000202,0.2046616729348898,0.00012895784806460142
MI,33,200,TabPFN,,,,,
MI,33,200,TabICL,0.9731198034769464,0.9062523553883338,0.05660830630432406,0.16233205306343734,0.00013370760064572096
MI,33,500,XGBoost,0.9667894935752078,0.9049216889904946,0.0586020627447884,0.2023696310352534,6.76068477332592e-06
MI,33,500,LightGBM,0.9606009070294784,0.8860931146716947,0.06411654165311273,0.1289346639532596,3.699379973113537e-06
MI,33,500,CatBoost,0.9664115646258503,0.9030826077475149,0.06142690545035779,0.3528986230958253,2.234680578112602e-06
MI,33,500,RandomForest,0.9668839758125471,0.900798661685983,0.05913014568525962,0.2136482100468129,0.00012802347633987665
MI,33,500,TabPFN,,,,,
MI,33,500,TabICL,0.9756708238851096,0.9174848294372042,0.05308172280749248,0.16359128011390567,0.00017421155236661435
MI,33,1003,XGBoost,0.9718915343915344,0.9114641309773966,0.05567866075987156,0.21766795497387648,7.3689641430974005e-06
MI,33,1003,LightGBM,0.9706632653061225,0.9086741502460003,0.05600342332246355,0.18290465092286468,3.8252761587500576e-06
MI,33,1003,CatBoost,0.9604591836734694,0.9004446700573154,0.0575515689298134,0.556122703012079,5.2500795572996135e-06
MI,33,1003,RandomForest,0.9700018896447468,0.9036128478281951,0.056594670381643515,0.21998109598644078,0.00012780193239450455
MI,33,1003,TabPFN,,,,,
MI,33,1003,TabICL,0.973781179138322,0.91084120423845,0.05539511628416187,0.16440395102836192,0.0002527293805032969
MI,34,50,XGBoost,0.8095104895104895,0.5685849244486487,0.12479937436658872,0.12027140404097736,4.891388118267059e-06
MI,34,50,LightGBM,0.6181818181818182,0.2771037811745776,0.16572643979381949,0.011472775135189295,1.9610635936260223e-06
MI,34,50,CatBoost,0.9329603729603728,0.7538843702720005,0.09049324094352727,0.27702848706394434,1.7762919887900352e-06
MI,34,50,RandomForest,0.9567365967365968,0.861299496214699,0.07504446176106325,0.1963480249978602,0.00012884737271815538
MI,34,50,TabPFN,,,,,
MI,34,50,TabICL,0.953939393939394,0.8209330991446449,0.0794609443091475,0.1643122141249478,0.00011863720789551735
MI,34,100,XGBoost,0.9252214452214451,0.8098732510911998,0.08879924984743773,0.13085668510757387,5.048164166510105e-06
MI,34,100,LightGBM,0.8221445221445223,0.5233943029544301,0.1385009517742131,0.048420773120597005,2.8633084148168566e-06
MI,34,100,CatBoost,0.9421911421911422,0.731876043123424,0.09888577400240942,0.28959009516984224,1.8320083618164063e-06
MI,34,100,RandomForest,0.9495571095571096,0.8477694492749521,0.08044467284832665,0.20626769913360476,8.810036350041628e-05
MI,34,100,TabPFN,,,,,
MI,34,100,TabICL,0.9614918414918414,0.8676411410665319,0.07304474972762325,0.16376158478669822,0.00011659944057464599
MI,34,200,XGBoost,0.9052214452214452,0.7840422111632122,0.07901425119364329,0.16801254800520837,5.749572068452835e-06
MI,34,200,LightGBM,0.9014918414918414,0.7998369615076444,0.0786664572676043,0.08233692683279514,3.177664242684841e-06
MI,34,200,CatBoost,0.9508624708624708,0.825892130658457,0.07190738924593951,0.42372414097189903,4.659991711378097e-06
